Function	Gene Name	kon_ESC	koff_ESC	OR_ESC	kon_MAF	koff_MAF	OR_MAF				
mRNA Processing	Clasrp	0.17375912	0.45427188	1.374269006	0.04415008	0.36294642	2.77037037				
mRNA Processing	Ncbp1	0.5213838	2.0480456	1.313684211	0.63686154	6.64958911	2.74813111				
mRNA Processing	Smu1	2.96292638	120.1051135	11.85714286	1.00588354	12.98455632	2.744318182				
mRNA Processing	Lsm3	1.69007854	34.28551607	22	0.58608679	5.22744434	2.742346939				
mRNA Processing	Khdrbs3	0.00549748	0.03653941	87	0.08241096	0.97721609	2.741626794				
mRNA Processing	Paf1	1.06537325	85.66950632	1.333333333	0.72545146	180.7607089	2.69122807				
mRNA Processing	Rbm42	0.59589665	0.6038523	1.066666667	0.53922498	2.97121872	2.679734219				
mRNA Processing	Ptcd2	0.71503292	3.54775682	0.740740741	0.46729417	100.2849232	2.648484848				
mRNA Processing	Gpatch1	0.20348299	0.91833555	0.770750988	0.13401372	15.64303569	2.621052632				
mRNA Processing	Leo1	1.67528139	7.86847085	1.173076923	0.6889018	118.7037458	2.617777778				
mRNA Processing	Bcas2	2.66843994	17.18195551	NA	1.27537807	26.22698576	2.587044534				
mRNA Processing	Usp39	1.03267562	4.50173986	0.894736842	0.814373678	417.938581	2.586666667				
mRNA Processing	Srsf9	0.79611812	13.24511808	0.472222222	0.94577409	180.3037186	2.585585586				
mRNA Processing	Rnmt	1.11864536	3.25700095	0.882352941	0.40125656	2.42397565	2.567708333				
mRNA Processing	Sympk	0.5951271	0.627718	0.630541872	0.878338909	645.78654	2.485106383				
mRNA Processing	Snrnp40	2.03405229	14.55311776	2.533333333	0.83449068	290.1897564	2.4692904				
mRNA Processing	Ddx41	1.26455639	9.47013465	0.512605042	0.60436975	56.05267265	2.454799107				
mRNA Processing	Prpf38b	0.4892598	1.14087345	0.413333333	0.73716877	11.98690652	2.445632799				
mRNA Processing	Fxr2	2.99668754	3.30745106	0.518796992	1.33501554	169.0361054	2.44				
mRNA Processing	Rsrc1	0.26858405	0.7568434	0.685185185	0.28359593	1.99138807	2.425071225				
mRNA Processing	Hnrnph1	0.45018093	0.50216106	2.228373702	0.59956283	14.8573146	2.424338624				
mRNA Processing	Rbm7	0.14248526	0.14466477	0.985185185	0.68968894	64.87376441	2.420987654				
mRNA Processing	Cdc73	0.45551514	7.52402947	3.566964286	0.32259857	6.22507539	2.400820793				
mRNA Processing	Cdc40	0.2868125	1.93214342	2.619047619	0.20062653	1.43342352	2.392241379				
mRNA Processing	Tra2a	1.61930469	2.52780852	0.509615385	1.23400199	133.4670231	2.369230769				
mRNA Processing	Tsen15	0.40733758	1.87328229	1.915966387	0.33514352	43.94389573	2.368770764				
mRNA Processing	Rbbp6	1.10741965	1.66685329	1.061538462	0.2797505	1.08339839	2.367357788				
mRNA Processing	Dcps	1.21935065	9.89172732	0.937321937	0.36183956	5.15152626	2.344846491				
mRNA Processing	Srsf2	1.9088517	11.72890964	3.9	0.76182868	9.47668614	2.334263393				
mRNA Processing	Ecd	0.99723061	8.61255357	0.879545455	0.89668843	12.33596917	2.330188679				
mRNA Processing	Rbm26	0.10680678	0.2021498	1.421333333	0.13485422	0.6205946	2.301923077				
mRNA Processing	Tcerg1	0.23201317	0.29487456	1.425438596	0.25598211	0.8031161	2.293882979				
mRNA Processing	Cstf3	0.60833717	1.57490162	1.957894737	0.6128334	71.69832564	2.26754386				
mRNA Processing	Sf3b5	2.65180533	12.6008781	NA	1.39112277	16.5175349	2.25				
mRNA Processing	Srsf7	0.76680976	1.17114163	10.23809524	0.22316285	0.62288167	2.25				
mRNA Processing	Luc7l3	0.08534186	0.0902483	2.2	0.11229497	0.73042764	2.234113712				
mRNA Processing	Rest	1.85981204	1.08036923	3	0.3199352	2.66915977	2.23180593				
